|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                               Occurrence                               |
                      |          Text           |  #Targ  |  #Corr  |  #FA  |  #Miss  |    TWV    |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+-------+---------+-----------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |     0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      15 |     6 |       3 |    0.6659 |   0.00017 |    0.167 |
         KW202-00003  |               nimwachie |       1 |       1 |     0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       0 |     0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00005  |              nimempigia |       1 |       1 |     0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |       |         |           |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |     0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       6 |     1 |       2 |    0.7221 |   0.00003 |    0.250 |
         KW202-00009  |             waliniambia |       2 |       1 |     0 |       1 |    0.5000 |   0.00000 |    0.500 |
         KW202-00010  |                   utoke |       1 |       0 |     4 |       1 |   -0.1116 |   0.00011 |    1.000 |
         KW202-00011  |                 kupanga |       1 |       1 |     0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       1 |     0 |       1 |    0.5000 |   0.00000 |    0.500 |
         KW202-00013  |            akimea pembe |       1 |       0 |     0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |     0 |       0 |    1.0000 |   0.00000 |    0.000 |
