|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                              Occurrence                               |
                      |          Text           |  #Targ  |  #Corr  |  #FA  |  #Miss  |   TWV    |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+-------+---------+----------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00005  |              nimempigia |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |       |         |          |           |          |
         KW202-00007  |            wenda wazimu |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00008  |              wiki mbili |       8 |       8 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00009  |             waliniambia |       2 |       2 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00010  |                   utoke |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       2 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00013  |            akimea pembe |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00015  |                   eliza |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00016  |               tuongezee |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00017  |    as a that ngoja that |         |         |       |         |          |           |          |
         KW202-00018  |             not show up |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00019  |            x wanasemaje |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00020  |                  shosho |       2 |       2 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00021  |              aliteremka |       2 |       2 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00022  |                 rachael |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00023  |              inaniambia |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00024  |       ulimcall akashika |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00025  |                umetumia |         |         |       |         |          |           |          |
         KW202-00026  |                  umeona |       4 |       4 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00027  |        henry unakuwanga |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00028  |               tusaidiwe |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00029  |                 tumboga |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00030  |              atamtendea |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00031  |                   tabia |      11 |      11 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00032  |                sitarudi |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00033  |              amenipigia |       6 |       6 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00034  |                 ilipita |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00035  |        pack hawakukupea |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00036  |                   aunty |      11 |      11 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
         KW202-00037  |                 mnapata |       1 |       1 |     0 |       0 |   1.0000 |   0.00000 |    0.000 |
