|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+---------+---------+------------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |      88 |       0 |    -1.4561 |   0.00246 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |      17 |       0 |     0.5257 |   0.00047 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00005  |              nimempigia |       1 |       1 |      37 |       0 |    -0.0322 |   0.00103 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |         |         |            |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |       5 |       1 |    -0.1395 |   0.00014 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       8 |      29 |       0 |     0.1908 |   0.00081 |    0.000 |
         KW202-00009  |             waliniambia |       2 |       2 |      97 |       0 |    -1.7061 |   0.00271 |    0.000 |
         KW202-00010  |                   utoke |       1 |       1 |     254 |       0 |    -6.0859 |   0.00709 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |     125 |       0 |    -2.4872 |   0.00349 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       2 |       4 |       0 |     0.8884 |   0.00011 |    0.000 |
         KW202-00013  |            akimea pembe |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
