|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+---------+---------+------------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |      46 |       0 |    -0.2839 |   0.00128 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00005  |              nimempigia |       1 |       1 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |         |         |            |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       6 |       9 |       2 |     0.4989 |   0.00025 |    0.250 |
         KW202-00009  |             waliniambia |       2 |       1 |      30 |       1 |    -0.3369 |   0.00084 |    0.500 |
         KW202-00010  |                   utoke |       1 |       1 |      92 |       0 |    -1.5666 |   0.00257 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |      62 |       0 |    -0.7296 |   0.00173 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       1 |       1 |       1 |     0.4721 |   0.00003 |    0.500 |
         KW202-00013  |            akimea pembe |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
