|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+---------+---------+-----------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |      80 |       0 |   -1.2329 |   0.00223 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |      16 |       0 |    0.5536 |   0.00045 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00005  |              nimempigia |       1 |       1 |      35 |       0 |    0.0236 |   0.00098 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |         |         |           |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |       5 |       1 |   -0.1395 |   0.00014 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       8 |      28 |       0 |    0.2187 |   0.00078 |    0.000 |
         KW202-00009  |             waliniambia |       2 |       2 |      89 |       0 |   -1.4829 |   0.00248 |    0.000 |
         KW202-00010  |                   utoke |       1 |       1 |     221 |       0 |   -5.1653 |   0.00617 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |     105 |       0 |   -1.9292 |   0.00293 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       2 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00013  |            akimea pembe |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
