|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+---------+---------+------------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |      57 |       0 |    -0.5909 |   0.00159 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |      11 |       0 |     0.6931 |   0.00031 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00005  |              nimempigia |       1 |       1 |      28 |       0 |     0.2189 |   0.00078 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |         |         |            |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |       4 |       1 |    -0.1116 |   0.00011 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       7 |      18 |       1 |     0.3727 |   0.00050 |    0.125 |
         KW202-00009  |             waliniambia |       2 |       2 |      59 |       0 |    -0.6460 |   0.00165 |    0.000 |
         KW202-00010  |                   utoke |       1 |       1 |     173 |       0 |    -3.8263 |   0.00483 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |      92 |       0 |    -1.5666 |   0.00257 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       2 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00013  |            akimea pembe |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
