|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
----------------------+-------------------------+---------+---------+---------+---------+-----------+-----------+----------+
Keyword  KW202-00001  |       what she has gone |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00002  |                 ng'ombe |      18 |      18 |      37 |       0 |   -0.0327 |   0.00103 |    0.000 |
         KW202-00003  |               nimwachie |       1 |       1 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00004  |               nipelekwe |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00005  |              nimempigia |       1 |       1 |      25 |       0 |    0.3026 |   0.00070 |    0.000 |
         KW202-00006  |          uma zina taabu |         |         |         |         |           |           |          |
         KW202-00007  |            wenda wazimu |       1 |       0 |       4 |       1 |   -0.1116 |   0.00011 |    1.000 |
         KW202-00008  |              wiki mbili |       8 |       7 |      11 |       1 |    0.5681 |   0.00031 |    0.125 |
         KW202-00009  |             waliniambia |       2 |       2 |      51 |       0 |   -0.4228 |   0.00142 |    0.000 |
         KW202-00010  |                   utoke |       1 |       1 |     132 |       0 |   -2.6825 |   0.00368 |    0.000 |
         KW202-00011  |                 kupanga |       1 |       1 |      70 |       0 |   -0.9528 |   0.00195 |    0.000 |
         KW202-00012  |       naendelea kungoja |       2 |       2 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00013  |            akimea pembe |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00014  |           uchukue fimbo |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
